,SecondLargestPropertyUseTypeGFA,SecondLargestPropertyUseType,ENERGYSTARScore,LargestPropertyUseType,LargestPropertyUseTypeGFA,TotalGHGEmissions,SiteEnergyUse,NumberofFloors,NumberofBuildings,CouncilDistrictCode,DefaultData,Latitude,Longitude,Neighborhood,YearBuilt,Outlier,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,BuildingType
6341,0.0,No Use,97.0,Housing,15.291782247054966,5.924575003392735,20.377152929274764,2.0,1.0,3,False,5.603364039925319,-122.3111,east,1926,normal,Housing,15.291782247054966,0.0,15.291782247054966,Multifamily LR (1-4)
6342,0.0,No Use,80.0,Housing,14.655586623151422,4.720825666089835,19.809618795200922,2.0,1.0,3,False,5.603358698376581,-122.31034,east,1924,normal,Housing,14.655586623151422,0.0,14.655586623151422,Multifamily LR (1-4)
6343,13.799484005620014,business storage,93.0,Housing,14.456803582958836,6.403438163008279,21.693760030133728,2.584962500721156,1.0,3,False,5.603345641174184,-122.31098,east,1998,normal,Other,15.229194343418428,13.8362476466879,15.694657147925525,NonResidential
6344,0.0,No Use,93.0,Housing,15.446210989853963,5.564378168565064,20.45873188608885,2.807354922057604,1.0,3,False,5.603326648668829,-122.31103999999999,central,1912,normal,Housing,15.571663775681072,0.0,15.571663775681072,Multifamily MR (5-9)
6345,0.0,No Use,56.0,Housing,14.640301431632487,6.4775154361842375,20.78367920097973,2.0,1.0,3,False,5.603340893071286,-122.31034,central,1904,normal,Housing,14.640301431632487,0.0,14.640301431632487,Multifamily LR (1-4)
6346,12.443979542601253,Other,14.0,Housing,16.416187260972446,6.678494507773734,22.43141012034505,3.700439718141092,1.0,3,False,5.6033162620367065,-122.31043000000001,central,1972,normal,Housing,16.505284338107558,0.0,16.505284338107558,Multifamily HR (10+)
6347,0.0,No Use,76.0,Housing,14.527538094496071,5.764208130139947,20.14794970691058,2.321928094887362,1.0,3,False,5.603233166287601,-122.3098,central,1929,normal,Housing,14.527538094496071,0.0,14.527538094496071,Multifamily LR (1-4)
6348,0.0,No Use,63.0,Housing,14.601886830639092,2.6064422281316078,19.47904998638186,2.321928094887362,1.0,3,False,5.60330973325824,-122.30921000000001,central,1988,normal,Housing,14.777306692305615,0.0,14.777306692305615,Multifamily LR (1-4)
6349,0.0,No Use,99.0,business storage,14.491915711943099,0.903038270112912,16.28252372877543,1.584962500721156,1.0,3,False,5.603323977827711,-122.31536000000001,east,1920,normal,business storage,14.491915711943099,0.0,14.491915711943099,NonResidential
6350,11.760304125286382,Leisure,98.0,Housing,14.056807035580608,4.615298579092115,19.373406570491156,2.0,1.0,3,False,5.603332583853611,-122.31461000000002,east,1910,normal,Housing,14.324039871367214,0.0,14.324039871367214,Multifamily LR (1-4)
